Cell ID,Area (pixels),Perimeter (pixels),Major Axis Length (pixels),Minor Axis Length (pixels),Axis Ratio (Major/Minor)
0,1175638.0,20283.40262024374,1592.3462431103706,1191.6566873964452,1.3362457996097514
1,3262.0,242.90663761154806,76.46243049511186,55.06739254697577,1.3885246233491961
2,3318.0,252.80613254815972,70.32376307596768,60.31712041777949,1.1659005368439066
3,3502.0,328.71782079359116,77.56073579622843,60.83069394646821,1.275026319188186
4,2362.0,201.2792206135786,60.25144431726365,50.20611402514718,1.2000818124877177
5,2673.0,218.2497833620557,64.85459409450202,52.78168319392335,1.2287329651125753
6,4250.0,277.7766952966369,88.93903567108225,62.08435219736509,1.4325515612749986
7,3751.0,261.4629867976521,73.98810097957492,64.69041203758081,1.1437259193308704
8,5699.0,444.94321753800733,152.86246758852892,57.08243123712976,2.6779249635235964
9,4602.0,305.91883092036784,101.62195935605558,58.58968646427985,1.734468393477597
10,2691.0,237.1848122046001,62.75339830065989,55.44852890001055,1.131741446447066
11,3217.0,234.42135623730954,65.1154714817688,63.174850757780725,1.0307182478582912
12,2791.0,225.69343417595164,74.17910474843217,48.345163160945916,1.5343645547638853
13,4840.0,303.43354954612926,83.34221202789657,74.36678232228904,1.1206913816266786
14,4269.0,291.492424049175,87.14089359660852,63.70242249561937,1.3679368881552494
15,3621.0,247.49242404917499,70.56782723658979,65.6349279936003,1.0751566184923746
16,10026.0,625.193000900063,188.24180605721432,78.88698416720194,2.386221352539393
17,4704.0,282.46298679765215,85.6152499556775,70.1399210419297,1.2206351059975764
18,2547.0,227.90663761154804,61.975805263195554,53.578481099631034,1.1567294180652379
19,2492.0,206.92997820866105,60.8791670700852,52.58358459259731,1.1577599272046535
20,2936.0,239.32085117392114,68.28931251537558,55.066692154232,1.240120113336559
21,3225.0,250.11984104714452,80.06590877712348,51.70897326515564,1.548394866913289
22,2598.0,210.59292911256333,59.285939653152624,56.12944072224228,1.0562360659627867
23,5051.0,330.4812767608817,95.24525794333508,68.77495565952833,1.3848828694975603
24,3319.0,233.52186130069788,68.22719749870338,62.43916160433001,1.092698808658763
25,3796.0,259.4629867976521,78.87733841659251,62.0971235497206,1.270225316530743
26,3710.0,257.0132393293463,75.00342939378845,63.60433419796131,1.179218843174252
27,2498.0,211.6579002700189,62.023908044146836,51.50241182296962,1.2042913302263005
28,2679.0,217.14927829866738,67.94962715040388,50.392974633999664,1.3483948436050233
29,2594.0,222.49242404917499,59.353004127510985,56.18027734375487,1.0564740320583128
30,4377.0,272.63455967290594,82.4430054724021,67.83239603065928,1.215392796019457
31,2853.0,231.7645019878171,64.30010254918392,57.58416260040735,1.116628247168937
32,2587.0,217.17871555019022,59.84338182745629,55.58087013170891,1.0766902656551902
33,4171.0,278.64065632731575,86.03833600484603,61.914064096594906,1.3896412270823277
34,6452.0,365.2741699796952,107.65697075803878,76.97179538556061,1.39865479580894
35,1230.0,185.31475451951127,47.6746263723194,34.69111374100047,1.3742604728188381
36,3830.0,270.4274528917194,80.7882852126135,61.11497317744496,1.3219065805371106
37,2880.0,227.04267658086914,68.17899180372127,54.07222421508461,1.2608875035826856
38,2618.0,224.49242404917499,60.09968912537705,56.06078200353289,1.0720451441720815
39,2396.0,201.93607486307093,63.33999833750549,48.41195252981796,1.3083545493954831
40,5788.0,346.2741699796952,112.0836768716478,66.8082552540161,1.677692022422783
41,4844.0,300.1259377015544,80.54979017178182,76.78629602073303,1.0490125757600368
42,2122.0,187.7228714274745,55.1747792984039,49.18368259496028,1.1218106572617137
43,2349.0,205.10764773832474,60.41454935095891,50.006078038767996,1.2081441240827082
44,7472.0,415.98484809834997,111.35040033068921,86.51197564841519,1.287109668876566
45,1258.0,194.80003589374985,51.19410646730042,33.250782602310395,1.5396361366767728
46,4475.0,284.747258045114,83.95987802620095,68.3969326551609,1.2275386448907626
47,2252.0,236.39191898578665,71.3295535377965,42.98059886012759,1.6595756092167384
48,3318.0,242.49242404917499,74.27359372940653,57.25194644343089,1.2973112416849315
49,2053.0,263.8772003600252,88.67281088056703,32.35733791007393,2.740423551745899
50,3327.0,266.39801564019655,73.33272067468873,58.74493411063291,1.2483241624985568
51,1643.0,200.2497833620557,55.508204858635885,39.37175058880111,1.4098485342540146
52,2444.0,205.32085117392117,66.6969809442113,46.80821329061108,1.4248990990132402
53,2900.0,236.83556979968262,68.36324268217119,54.736172070898434,1.2489591452179363
54,2478.0,241.04877323527901,62.900985837708596,51.40258986806698,1.2236929306315907
55,4544.0,294.7766952966369,86.68688589954172,66.97723257821868,1.2942739280591404
56,4334.0,301.6467529817257,87.63936576399006,64.20010917065045,1.3650968338859935
57,1829.0,202.10764773832477,54.43985218875505,43.525157985649585,1.2507674804237146
